id,first_name,last_name,email,phone,address,city,state,zip,country,registered_at
1,John,Doe,john.doe@example.com,555-1234,123 Elm Street,Springfield,IL,62704,USA,2023-05-12
2,Jane,Smith,jane.smith@example.com,555-5678,456 Oak Avenue,Dallas,TX,75201,USA,2023-06-18
3,Bob,Johnson,bob.johnson@example.com,555-9012,789 Pine Road,Miami,FL,33101,USA,2023-07-22
4,Alice,Williams,alice.w@example.com,555-3456,321 Maple Lane,Denver,CO,80203,USA,2023-08-10
5,Mike,Brown,mike.brown@example.com,555-7890,654 Cedar Blvd,Seattle,WA,98101,USA,2023-09-05
6,Sarah,Davis,s.davis@example.com,555-2345,987 Birch Court,Atlanta,GA,30301,USA,2023-10-12
7,Chris,Miller,chris.miller@example.com,555-6789,111 Spruce Drive,Chicago,IL,60601,USA,2023-11-20
8,Emma,Wilson,emma.w@example.com,555-4321,222 Poplar Street,Boston,MA,02108,USA,2023-12-03
9,David,Moore,d.moore@example.com,555-8765,333 Chestnut Ave,San Francisco,CA,94102,USA,2024-01-15
10,Lisa,Taylor,lisa.taylor@example.com,555-2109,444 Walnut St,New York,NY,10001,USA,2024-02-08
